last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Vesia, Alex,L,96.2,,,87.5,,37.7,
Bergen, Travis,L,96.2,,,,,,39.8
Stashak, Cody,R,96.2,,,,,42.4,
Morgan, Eli,R,96.1,,,71.9,,32.7,60.2
Webb, Jacob,R,96.1,,,87.6,,,72.1
Gray, Josiah,R,96.1,,,90.9,,21.5,24.7
Bauer, Trevor,R,96,94.9,25.9,93.4,,75.2,97.3
Gose, Anthony,L,95.9,,,,,46.8,
Swanson, Erik,R,95.7,,,,,42,
Williams, Devin,R,95.5,,,79.6,,,
Akin, Keegan,L,95.5,,,83.2,,26.8,39.1
Perez, Francisco,L,95.4,,,,,27.2,
Kowar, Jackson,R,95.4,,,78.1,,32.4,
Barnes, Matt,R,95.4,,,90,,,59.4
Buchter, Ryan,L,95.4,,39.1,,,,81.5
Diaz, Miguel,R,95.3,,,94.8,,,
Abreu, Albert,R,95.2,100,,98.3,,20.7,
Cobb, Alex,R,95.2,96.8,,,,,58.7
Gomber, Austin,L,95,,,80.8,,30,88.9
Ponce de Leon, Daniel,R,95,,49.6,92.4,,,70.2
Guerra, Deolis,R,94.9,97.7,,79,,34,88.4
Fiers, Mike,R,94.9,94.2,,,,51.6,
Cabrera, Génesis,L,94.9,96.7,,87.9,,,72.6
Feyereisen, J.P.,R,94.8,,,85.4,,26.3,
Bieber, Shane,R,94.7,,42.1,90.1,,14.2,78.1
Conley, Adam,L,94.6,,,91.2,,16.6,
Eickhoff, Jerad,R,94.5,,,79.9,,23.2,57.3
Whitley, Kodi,R,94.4,,,92.9,,32,
Banda, Anthony,L,94.4,,,85.3,,,64.4
Greene, Conner,R,94.4,100,,90.4,,20.7,48.8
Doolittle, Sean,L,94.4,,,,,27.8,36.7
Wacha, Michael,R,94.3,98.9,45.5,92.7,,,73.1
Lauer, Eric,L,94.3,,58.3,94.6,,27.9,45.7
Luzardo, Jesús,L,94.3,99.8,,90.2,,,11
Kopech, Michael,R,94.3,,,87.6,,45.4,59.2
Jax, Griffin,R,94.3,,,87.7,,53.8,71.8
Howard, Sam,L,94.3,,,,,22.2,
Hill, Tim,L,94.3,93.6,,,,19.6,
Hill, Rich,L,94.2,87.9,42.4,89.1,,94.4,100
Kennedy, Ian,R,94.2,,33.4,90.5,,,71.6
Weems, Jordan,R,94,,,,,29,
Baz, Shane,R,94,,,,,16.4,80.1
Johnson, Pierce,R,93.9,,,,,,55.9
Sborz, Josh,R,93.9,,,,,10.2,80.7
Means, John,L,93.8,,,92.7,,39.7,73
Hammer, JD,R,93.7,,,,,30.8,
Santiago, Héctor,L,93.6,,,86.5,,22.2,
Burrows, Beau,R,93.6,,,87.2,,19,
Archer, Chris,R,93.6,,,85.3,,28.1,
Paddack, Chris,R,93.5,,,79.4,,,93.3
Pivetta, Nick,R,93.5,,,87,,29.6,95.1
Walker, Taijuan,R,93.5,100,,,,31.8,72.8
Diekman, Jake,L,93.4,95.2,,,,58,
Wilson, Justin,L,93.4,,52.8,,,37,
Dunn, Justin,R,93.4,,,,,35.3,73.2
Giolito, Lucas,R,93.3,,,87.6,,25.8,64.5
Ellis, Chris,R,93.3,,,94.5,,22,48.4
