last_name, first_name,pitch_hand,active_spin_fourseam,active_spin_sinker,active_spin_cutter,active_spin_changeup,active_spin_fastball,active_spin_slider,active_spin_curve
Mella, Keury,R,98.6,97.2,,,,27.6,
Ponce de Leon, Daniel,R,98.6,,40,98.4,,,87
Harvey, Matt,R,98.6,98.4,,97.9,,25.2,59.8
Heuer, Codi,R,98.6,,,88.6,,25.5,
Smyly, Drew,L,98.5,,58.3,,,,37.8
Kremer, Dean,R,98.5,97.8,46.3,,,,92.2
Robles, Hansel,R,98.5,99,,92.5,,41.1,
McGee, Jake,L,98.5,,,,,,
Howard, Spencer,R,98.5,,30.5,99.6,,29.4,99.4
Pivetta, Nick,R,98.5,,,98.1,,40.7,76
Stephenson, Robert,R,98.4,,,,,19.3,31.1
Benjamin, Wes,L,98.4,,26.5,95.8,,,74
McKenzie, Triston,R,98.4,,,90.3,,44.1,58.5
Hendriks, Liam,R,98.4,,,,,18.8,74.1
Plesac, Zach,R,98.4,,,99.1,,41.5,51.8
Ramirez, Nick,L,98.4,93.2,64.1,97.7,,,
Springs, Jeffrey,L,98.4,,,98.3,,28.6,
Swanson, Erik,R,98.4,,,,,28.2,
Báez, Pedro,R,98.3,,,99.3,,50.2,
Guerra, Javy,R,98.3,,,96,,47.6,50.9
Beeks, Jalen,L,98.3,,37.4,90.7,,,
García, Deivi,R,98.2,,,98.5,,35.5,83.7
Gonsolin, Tony,R,98.1,,,,,25.3,70.7
Cole, Gerrit,R,98.1,,,98.9,,31,69.9
Hirano, Yoshihisa,R,98,,,,,,
Weaver, Luke,R,97.9,,58.8,89.4,,,68.5
Wacha, Michael,R,97.8,98.9,53.6,90.8,,,
Lauer, Eric,L,97.8,,45,95.9,,16.5,52.8
Eovaldi, Nathan,R,97.7,,51.2,,,45.3,80
Guerra, Deolis,R,97.7,,,96,,,97
Odorizzi, Jake,R,97.7,,62.2,,,43.1,69
Hudson, Daniel,R,97.7,,,96.9,,20.1,
Nola, Aaron,R,97.6,96.1,,99.1,,,86.4
Garcia, Bryan,R,97.6,96.3,,98.8,,24.5,
Williams, Devin,R,97.6,,33.5,80.2,,,
Skubal, Tarik,L,97.6,,,99.3,,20.1,71.7
Bieber, Shane,R,97.6,,45.6,94.7,,27.2,89
Thornburg, Tyler,R,97.5,,,97.3,,,91.1
Rodríguez, Richard,R,97.5,,,,,41.9,
Yamaguchi, Shun,R,97.5,,,,,22.9,83.6
Díaz, Edwin,R,97.5,,,,,23.2,
Duffy, Danny,L,97.4,94.6,,91.9,,31.5,91
Milone, Tommy,L,97.4,98.5,,97.9,,31.2,34
Canning, Griffin,R,97.4,,45,98.6,,27.6,40.8
Foster, Matt,R,97.4,,,97,,28.3,
Gausman, Kevin,R,97.3,,,92.2,,23.3,
Diehl, Phillip,L,97.3,,,,,27.1,
Clippard, Tyler,R,97.3,96.1,,98.5,,,68.1
Doolittle, Sean,L,97.2,,,,,40.7,
Santos, Antonio,R,97.2,,,94.4,,40.1,
Baragar, Caleb,L,97.2,,,,,35.6,62.8
Walker, Taijuan,R,97.2,96.1,,,,33.7,94.4
Farmer, Buck,R,97.2,,,85.5,,13,
Gray, Jon,R,97.2,,,95.2,,31.5,71
Diekman, Jake,L,97.2,97,,,,42.7,
Pérez, Oliver,L,97.2,96.2,,,,61.6,
Fiers, Mike,R,97.1,94.5,,88.4,,59.5,90.1
Thorpe, Lewis,L,97.1,,,96.2,,29.8,90.6
Peterson, David,L,97,96.5,,99,,24.6,64.5
Shreve, Chasen,L,97,,,,,51.5,
Suárez, Andrew,L,97,97.9,,98.2,,31.5,
Wisler, Matt,R,97,,,,,32.1,
Howard, Sam,L,97,,,,,29.3,
Kikuchi, Yusei,L,97,,58.6,89.3,,26.2,
Colomé, Alex,R,97,,42.2,,,,
Webb, Jacob,R,96.9,,,98.6,,,56.4
Heller, Ben,R,96.8,,,99.4,,,45.6
