last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Ray, Robbie,592662,TOR,FF,4-Seamer,-1.2,-22,1864,59.3,471,0.222,0.431,0.318,24,24.6,21.1,0.243,0.457,0.328,43.2
Gausman, Kevin,592332,SF,FF,4-Seamer,-0.6,-10,1583,52.7,421,0.257,0.416,0.335,19.5,19.2,19.5,0.278,0.485,0.352,44.8
Mahle, Tyler,641816,CIN,FF,4-Seamer,-0.6,-11,1693,53,387,0.236,0.435,0.337,27,34.6,21.5,0.215,0.365,0.308,41.2
Richards, Garrett,572070,BOS,FF,4-Seamer,0.3,4,1236,53,355,0.304,0.487,0.389,17.8,14.6,15.8,0.313,0.515,0.395,52.5
Senzatela, Antonio,622608,COL,FF,4-Seamer,-0.3,-4,1311,54.5,352,0.295,0.394,0.327,13.8,10.8,12.3,0.297,0.424,0.332,41.5
Cease, Dylan,656302,CWS,FF,4-Seamer,-0.1,-1,1383,46.8,352,0.264,0.449,0.366,23,19.3,18,0.276,0.503,0.385,46.8
Urías, Julio,628711,LAD,FF,4-Seamer,0.1,1,1325,47.6,347,0.276,0.483,0.354,21.3,23.6,20,0.252,0.462,0.332,38.1
Wheeler, Zack,554430,PHI,FF,4-Seamer,-1,-14,1363,42.5,341,0.226,0.318,0.28,26,33.1,24.1,0.215,0.315,0.272,32.7
Happ, J.A.,457918,STL,FF,4-Seamer,0.1,1,1442,53.9,336,0.266,0.532,0.382,20.3,22.9,17.7,0.256,0.508,0.367,46.5
Pivetta, Nick,601713,BOS,FF,4-Seamer,0.1,1,1423,51.8,336,0.255,0.435,0.35,20.9,24.1,17.4,0.233,0.412,0.324,46.3
Buehler, Walker,621111,LAD,FF,4-Seamer,-1.3,-19,1403,44.5,336,0.202,0.366,0.295,20.3,23.8,19.3,0.241,0.424,0.331,45.8
Márquez, Germán,608566,COL,FF,4-Seamer,0.1,1,1269,45.5,331,0.275,0.44,0.369,14,7.6,12,0.322,0.514,0.404,46.4
Rogers, Trevor,669432,MIA,FF,4-Seamer,-1.2,-15,1251,57.7,325,0.222,0.344,0.306,26.8,30.5,26.1,0.219,0.362,0.306,40.2
Gilbert, Logan,669302,SEA,FF,4-Seamer,-1.5,-19,1307,61.5,324,0.254,0.401,0.311,21.6,21.9,17.7,0.258,0.438,0.323,50.6
McKenzie, Triston,663474,CLE,FF,4-Seamer,0.5,6,1216,61.6,322,0.227,0.465,0.359,19.2,19.9,18.9,0.259,0.472,0.365,44.3
